,Candidate Name,Committee Name,Contributor Type,Date of Receipt,Amount,Year,Office
32,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,3/23/2014,5,2014.0,Council Ward 1
33,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,3/23/2014,5,2014.0,Council Ward 1
34,Beverley Wheeler ,Beverley Wheeler for Ward 1,Corporation,2/1/2014,5,2014.0,Council Ward 1
35,Beverley Wheeler ,Beverley Wheeler for Ward 1,Business,2/1/2014,5,2014.0,Council Ward 1
36,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,2/10/2014,5,2014.0,Council Ward 1
37,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,2/10/2014,5,2014.0,Council Ward 1
38,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,9/16/2013,5,2014.0,Council Ward 1
39,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,9/28/2013,5,2014.0,Council Ward 1
40,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,9/12/2013,5,2014.0,Council Ward 1
41,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,10/1/2013,1,2014.0,Council Ward 1
42,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,10/2/2013,17,2014.0,Council Ward 1
43,Beverley Wheeler ,Beverley Wheeler for Ward 1,Individual,10/3/2013,5,2014.0,Council Ward 1
44,Beverley Wheeler ,Beverley Wheeler for Ward 1,Candidate,9/6/2013,181,2014.0,Council Ward 1
45,Beverley Wheeler ,Beverley Wheeler for Ward 1,Candidate,9/7/2013,112,2014.0,Council Ward 1
46,Beverley Wheeler ,Beverley Wheeler for Ward 1,Candidate,9/13/2013,412,2014.0,Council Ward 1
47,Bill O'Field ,Bill O'Field for Committeeman,Candidate,3/18/2014,25,2014.0,Ward 1 DC Democratic State Committee 
48,Bill O'Field ,Bill O'Field for Committeeman,Candidate,3/31/2014,2,2014.0,Ward 1 DC Democratic State Committee 
49,Anita Bonds ,Bonds for Council 2014,Individual,1/18/2014,5,2014.0,Council At-Large
50,Anita Bonds ,Bonds for Council 2014,Individual,1/25/2014,1,2014.0,Council At-Large
51,Anita Bonds ,Bonds for Council 2014,Individual,1/16/2014,1,2014.0,Council At-Large
52,Anita Bonds ,Bonds for Council 2014,Individual,12/18/2013,25,2014.0,Council At-Large
53,Anita Bonds ,Bonds for Council 2014,Individual,1/19/2014,25,2014.0,Council At-Large
54,Anita Bonds ,Bonds for Council 2014,Individual,1/20/2014,5,2014.0,Council At-Large
55,Anita Bonds ,Bonds for Council 2014,Individual,1/24/2014,2,2014.0,Council At-Large
56,Anita Bonds ,Bonds for Council 2014,Individual,1/26/2014,5,2014.0,Council At-Large
57,Anita Bonds ,Bonds for Council 2014,Individual,1/27/2014,1,2014.0,Council At-Large
58,Anita Bonds ,Bonds for Council 2014,Individual,1/27/2014,5,2014.0,Council At-Large
59,Anita Bonds ,Bonds for Council 2014,Individual,1/28/2014,25,2014.0,Council At-Large
60,Anita Bonds ,Bonds for Council 2014,Individual,1/28/2014,1,2014.0,Council At-Large
61,Anita Bonds ,Bonds for Council 2014,Individual,1/28/2014,25,2014.0,Council At-Large
62,Anita Bonds ,Bonds for Council 2014,Individual,1/29/2014,1,2014.0,Council At-Large
63,Anita Bonds ,Bonds for Council 2014,Individual,1/30/2014,25,2014.0,Council At-Large
64,Anita Bonds ,Bonds for Council 2014,Individual,1/25/2014,1,2014.0,Council At-Large
65,Anita Bonds ,Bonds for Council 2014,Individual,1/29/2014,2,2014.0,Council At-Large
66,Anita Bonds ,Bonds for Council 2014,Individual,1/29/2014,5,2014.0,Council At-Large
67,Anita Bonds ,Bonds for Council 2014,Individual,1/16/2014,1,2014.0,Council At-Large
68,Anita Bonds ,Bonds for Council 2014,Individual,1/29/2014,1,2014.0,Council At-Large
69,Anita Bonds ,Bonds for Council 2014,Individual,1/29/2014,5,2014.0,Council At-Large
70,Anita Bonds ,Bonds for Council 2014,Individual,1/29/2014,1,2014.0,Council At-Large
71,Anita Bonds ,Bonds for Council 2014,Individual,3/5/2014,1,2014.0,Council At-Large
72,Anita Bonds ,Bonds for Council 2014,Individual,1/14/2014,25,2014.0,Council At-Large
73,Anita Bonds ,Bonds for Council 2014,Corporation,1/10/2014,1,2014.0,Council At-Large
74,Anita Bonds ,Bonds for Council 2014,Labor,1/13/2014,5,2014.0,Council At-Large
75,Anita Bonds ,Bonds for Council 2014,Individual,1/1/2014,5,2014.0,Council At-Large
76,Anita Bonds ,Bonds for Council 2014,Individual,12/26/2013,5,2014.0,Council At-Large
77,Anita Bonds ,Bonds for Council 2014,Individual,12/26/2013,5,2014.0,Council At-Large
78,Anita Bonds ,Bonds for Council 2014,Corporation,12/11/2013,5,2014.0,Council At-Large
79,Anita Bonds ,Bonds for Council 2014,Individual,12/12/2013,1,2014.0,Council At-Large
80,Anita Bonds ,Bonds for Council 2014,Corporation,12/11/2013,25,2014.0,Council At-Large
81,Anita Bonds ,Bonds for Council 2014,Corporation,12/11/2013,25,2014.0,Council At-Large
82,Anita Bonds ,Bonds for Council 2014,Individual,1/2/2014,1,2014.0,Council At-Large
83,Anita Bonds ,Bonds for Council 2014,Individual,1/30/2014,2,2014.0,Council At-Large
84,Anita Bonds ,Bonds for Council 2014,Individual,1/31/2014,25,2014.0,Council At-Large
85,Anita Bonds ,Bonds for Council 2014,Individual,1/31/2014,1,2014.0,Council At-Large
86,Anita Bonds ,Bonds for Council 2014,Individual,3/20/2014,2,2014.0,Council At-Large
87,Anita Bonds ,Bonds for Council 2014,Individual,1/31/2014,1,2014.0,Council At-Large
88,Anita Bonds ,Bonds for Council 2014,Individual,1/31/2014,2,2014.0,Council At-Large
89,Anita Bonds ,Bonds for Council 2014,Individual,1/31/2014,5,2014.0,Council At-Large
90,Anita Bonds ,Bonds for Council 2014,Individual,1/31/2014,25,2014.0,Council At-Large
91,Anita Bonds ,Bonds for Council 2014,Individual,1/31/2014,5,2014.0,Council At-Large
92,Anita Bonds ,Bonds for Council 2014,Individual,1/31/2014,25,2014.0,Council At-Large
93,Anita Bonds ,Bonds for Council 2014,Individual,1/31/2014,1,2014.0,Council At-Large
94,Anita Bonds ,Bonds for Council 2014,Individual,1/31/2014,5,2014.0,Council At-Large
95,Anita Bonds ,Bonds for Council 2014,Individual,1/31/2014,1,2014.0,Council At-Large
96,Anita Bonds ,Bonds for Council 2014,Individual,1/31/2014,2,2014.0,Council At-Large
97,Anita Bonds ,Bonds for Council 2014,Individual,1/31/2014,1,2014.0,Council At-Large
98,Anita Bonds ,Bonds for Council 2014,Corporate Sponsored PAC,1/28/2014,1,2014.0,Council At-Large
99,Anita Bonds ,Bonds for Council 2014,Individual,1/31/2014,25,2014.0,Council At-Large
100,Anita Bonds ,Bonds for Council 2014,Individual,1/31/2014,1,2014.0,Council At-Large
101,Anita Bonds ,Bonds for Council 2014,Corporation,1/31/2014,1,2014.0,Council At-Large
102,Anita Bonds ,Bonds for Council 2014,Corporation,1/31/2014,1,2014.0,Council At-Large
103,Anita Bonds ,Bonds for Council 2014,Individual,1/31/2014,1,2014.0,Council At-Large
104,Anita Bonds ,Bonds for Council 2014,Corporation,1/31/2014,1,2014.0,Council At-Large
105,Anita Bonds ,Bonds for Council 2014,Corporation,1/31/2014,1,2014.0,Council At-Large
106,Anita Bonds ,Bonds for Council 2014,Individual,1/31/2014,25,2014.0,Council At-Large
107,Anita Bonds ,Bonds for Council 2014,Individual,1/31/2014,1,2014.0,Council At-Large
108,Anita Bonds ,Bonds for Council 2014,Individual,3/6/2014,4,2014.0,Council At-Large
109,Anita Bonds ,Bonds for Council 2014,Business,4/30/2014,1,2014.0,Council At-Large
110,Anita Bonds ,Bonds for Council 2014,Business,4/30/2014,1,2014.0,Council At-Large
111,Anita Bonds ,Bonds for Council 2014,Business,4/14/2014,5,2014.0,Council At-Large
112,Anita Bonds ,Bonds for Council 2014,Individual,4/30/2014,2,2014.0,Council At-Large
113,Anita Bonds ,Bonds for Council 2014,Individual,4/30/2014,25,2014.0,Council At-Large
114,Anita Bonds ,Bonds for Council 2014,Business,4/30/2014,5,2014.0,Council At-Large
115,Anita Bonds ,Bonds for Council 2014,Business,4/30/2014,1,2014.0,Council At-Large
116,Anita Bonds ,Bonds for Council 2014,Individual,4/30/2014,2,2014.0,Council At-Large
117,Anita Bonds ,Bonds for Council 2014,Individual,4/4/2014,25,2014.0,Council At-Large
118,Anita Bonds ,Bonds for Council 2014,Business,4/30/2014,25,2014.0,Council At-Large
119,Anita Bonds ,Bonds for Council 2014,Business,4/30/2014,5,2014.0,Council At-Large
120,Anita Bonds ,Bonds for Council 2014,Business,4/30/2014,5,2014.0,Council At-Large
121,Anita Bonds ,Bonds for Council 2014,Business,5/1/2014,2,2014.0,Council At-Large
122,Anita Bonds ,Bonds for Council 2014,Individual,4/18/2014,125,2014.0,Council At-Large
123,Anita Bonds ,Bonds for Council 2014,Individual,4/21/2014,15,2014.0,Council At-Large
124,Anita Bonds ,Bonds for Council 2014,Business,4/23/2014,5,2014.0,Council At-Large
125,Anita Bonds ,Bonds for Council 2014,Individual,4/23/2014,5,2014.0,Council At-Large
126,Anita Bonds ,Bonds for Council 2014,Business,4/4/2014,1,2014.0,Council At-Large
127,Anita Bonds ,Bonds for Council 2014,Business,4/4/2014,1,2014.0,Council At-Large
128,Anita Bonds ,Bonds for Council 2014,Business,4/4/2014,1,2014.0,Council At-Large
129,Anita Bonds ,Bonds for Council 2014,Individual,4/4/2014,1,2014.0,Council At-Large
130,Anita Bonds ,Bonds for Council 2014,Individual,5/8/2014,2,2014.0,Council At-Large
131,Anita Bonds ,Bonds for Council 2014,Business,4/2/2014,1,2014.0,Council At-Large
132,Anita Bonds ,Bonds for Council 2014,Business,4/5/2014,1,2014.0,Council At-Large
133,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,1,2014.0,Council At-Large
134,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,25,2014.0,Council At-Large
135,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,1,2014.0,Council At-Large
136,Anita Bonds ,Bonds for Council 2014,Business,4/1/2014,1,2014.0,Council At-Large
137,Anita Bonds ,Bonds for Council 2014,Business,4/1/2014,1,2014.0,Council At-Large
138,Anita Bonds ,Bonds for Council 2014,Business,4/2/2014,5,2014.0,Council At-Large
139,Anita Bonds ,Bonds for Council 2014,Business,4/1/2014,1,2014.0,Council At-Large
140,Anita Bonds ,Bonds for Council 2014,Business,4/1/2014,1,2014.0,Council At-Large
141,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,25,2014.0,Council At-Large
142,Anita Bonds ,Bonds for Council 2014,Business,4/1/2014,25,2014.0,Council At-Large
143,Anita Bonds ,Bonds for Council 2014,Business,4/1/2014,5,2014.0,Council At-Large
144,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,5,2014.0,Council At-Large
145,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,3,2014.0,Council At-Large
146,Anita Bonds ,Bonds for Council 2014,Business,4/1/2014,1,2014.0,Council At-Large
147,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,25,2014.0,Council At-Large
148,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,15,2014.0,Council At-Large
149,Anita Bonds ,Bonds for Council 2014,Business,4/1/2014,1,2014.0,Council At-Large
150,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,1,2014.0,Council At-Large
151,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,25,2014.0,Council At-Large
152,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,25,2014.0,Council At-Large
153,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,25,2014.0,Council At-Large
154,Anita Bonds ,Bonds for Council 2014,Business,4/1/2014,5,2014.0,Council At-Large
155,Anita Bonds ,Bonds for Council 2014,Business,4/1/2014,51,2014.0,Council At-Large
156,Anita Bonds ,Bonds for Council 2014,Business,4/1/2014,25,2014.0,Council At-Large
157,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,1,2014.0,Council At-Large
158,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,2,2014.0,Council At-Large
159,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,15,2014.0,Council At-Large
160,Anita Bonds ,Bonds for Council 2014,Individual,3/25/2014,1,2014.0,Council At-Large
161,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,25,2014.0,Council At-Large
162,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,25,2014.0,Council At-Large
163,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,5,2014.0,Council At-Large
164,Anita Bonds ,Bonds for Council 2014,Business,4/1/2014,2,2014.0,Council At-Large
165,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,51,2014.0,Council At-Large
166,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,25,2014.0,Council At-Large
167,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,51,2014.0,Council At-Large
168,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,51,2014.0,Council At-Large
169,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,51,2014.0,Council At-Large
170,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,1,2014.0,Council At-Large
171,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,1,2014.0,Council At-Large
172,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,1,2014.0,Council At-Large
173,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,1,2014.0,Council At-Large
174,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,1,2014.0,Council At-Large
175,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,1,2014.0,Council At-Large
176,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,1,2014.0,Council At-Large
177,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,1,2014.0,Council At-Large
178,Anita Bonds ,Bonds for Council 2014,Business,4/1/2014,25,2014.0,Council At-Large
179,Anita Bonds ,Bonds for Council 2014,Business,4/1/2014,1,2014.0,Council At-Large
180,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,1,2014.0,Council At-Large
181,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,1,2014.0,Council At-Large
182,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,2,2014.0,Council At-Large
183,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,1,2014.0,Council At-Large
184,Anita Bonds ,Bonds for Council 2014,Individual,4/1/2014,25,2014.0,Council At-Large
185,Anita Bonds ,Bonds for Council 2014,Corporation,12/4/2013,1,2014.0,Council At-Large
186,Anita Bonds ,Bonds for Council 2014,Corporation,12/4/2013,5,2014.0,Council At-Large
187,Anita Bonds ,Bonds for Council 2014,Individual,12/4/2013,1,2014.0,Council At-Large
188,Anita Bonds ,Bonds for Council 2014,Individual,12/4/2013,5,2014.0,Council At-Large
189,Anita Bonds ,Bonds for Council 2014,Corporation,12/4/2013,2,2014.0,Council At-Large
190,Anita Bonds ,Bonds for Council 2014,Corporation,12/4/2013,5,2014.0,Council At-Large
191,Anita Bonds ,Bonds for Council 2014,Individual,12/4/2013,35,2014.0,Council At-Large
192,Anita Bonds ,Bonds for Council 2014,Corporation,12/4/2013,1,2014.0,Council At-Large
193,Anita Bonds ,Bonds for Council 2014,Individual,12/4/2013,1,2014.0,Council At-Large
194,Anita Bonds ,Bonds for Council 2014,Corporation,12/4/2013,1,2014.0,Council At-Large
195,Anita Bonds ,Bonds for Council 2014,Individual,12/9/2013,1,2014.0,Council At-Large
196,Anita Bonds ,Bonds for Council 2014,Individual,12/9/2013,1,2014.0,Council At-Large
197,Anita Bonds ,Bonds for Council 2014,Individual,12/9/2013,1,2014.0,Council At-Large
198,Anita Bonds ,Bonds for Council 2014,Individual,12/10/2013,1,2014.0,Council At-Large
199,Anita Bonds ,Bonds for Council 2014,Individual,12/10/2013,1,2014.0,Council At-Large
200,Anita Bonds ,Bonds for Council 2014,Individual,12/10/2013,1,2014.0,Council At-Large
201,Anita Bonds ,Bonds for Council 2014,Corporation,12/10/2013,1,2014.0,Council At-Large
202,Anita Bonds ,Bonds for Council 2014,Individual,12/9/2013,1,2014.0,Council At-Large
203,Anita Bonds ,Bonds for Council 2014,Individual,11/16/2013,2,2014.0,Council At-Large
204,Anita Bonds ,Bonds for Council 2014,Individual,11/14/2013,5,2014.0,Council At-Large
205,Anita Bonds ,Bonds for Council 2014,Individual,11/19/2013,25,2014.0,Council At-Large
206,Anita Bonds ,Bonds for Council 2014,Individual,11/24/2013,25,2014.0,Council At-Large
207,Anita Bonds ,Bonds for Council 2014,Individual,11/14/2013,1,2014.0,Council At-Large
208,Anita Bonds ,Bonds for Council 2014,Individual,11/8/2013,25,2014.0,Council At-Large
209,Anita Bonds ,Bonds for Council 2014,Individual,3/10/2014,2,2014.0,Council At-Large
210,Anita Bonds ,Bonds for Council 2014,Individual,11/11/2013,1,2014.0,Council At-Large
211,Anita Bonds ,Bonds for Council 2014,Individual,11/29/2013,5,2014.0,Council At-Large
212,Anita Bonds ,Bonds for Council 2014,Individual,11/29/2013,2,2014.0,Council At-Large
213,Anita Bonds ,Bonds for Council 2014,Individual,12/2/2013,1,2014.0,Council At-Large
214,Anita Bonds ,Bonds for Council 2014,Corporation,12/4/2013,1,2014.0,Council At-Large
215,Anita Bonds ,Bonds for Council 2014,Corporation,12/4/2013,1,2014.0,Council At-Large
216,Anita Bonds ,Bonds for Council 2014,Corporation,12/4/2013,1,2014.0,Council At-Large
217,Anita Bonds ,Bonds for Council 2014,Corporate Sponsored PAC,8/20/2013,1,2014.0,Council At-Large
218,Anita Bonds ,Bonds for Council 2014,Candidate,8/16/2013,2,2014.0,Council At-Large
219,Anita Bonds ,Bonds for Council 2014,Individual,3/24/2014,15,2014.0,Council At-Large
220,Anita Bonds ,Bonds for Council 2014,Individual,3/18/2014,1,2014.0,Council At-Large
221,Anita Bonds ,Bonds for Council 2014,Individual,3/19/2014,1,2014.0,Council At-Large
222,Anita Bonds ,Bonds for Council 2014,Individual,3/20/2014,51,2014.0,Council At-Large
223,Anita Bonds ,Bonds for Council 2014,Individual,3/24/2014,25,2014.0,Council At-Large
224,Anita Bonds ,Bonds for Council 2014,Individual,3/11/2014,25,2014.0,Council At-Large
225,Anita Bonds ,Bonds for Council 2014,Individual,3/11/2014,1,2014.0,Council At-Large
226,Anita Bonds ,Bonds for Council 2014,Individual,3/11/2014,1,2014.0,Council At-Large
227,Anita Bonds ,Bonds for Council 2014,Corporate Sponsored PAC,3/20/2014,5,2014.0,Council At-Large
228,Anita Bonds ,Bonds for Council 2014,Individual,3/20/2014,2,2014.0,Council At-Large
229,Anita Bonds ,Bonds for Council 2014,Individual,3/20/2014,5,2014.0,Council At-Large
230,Anita Bonds ,Bonds for Council 2014,Individual,3/20/2014,15,2014.0,Council At-Large
231,Anita Bonds ,Bonds for Council 2014,Individual,3/20/2014,1,2014.0,Council At-Large
232,Anita Bonds ,Bonds for Council 2014,Individual,3/20/2014,5,2014.0,Council At-Large
233,Anita Bonds ,Bonds for Council 2014,Individual,3/21/2014,1,2014.0,Council At-Large
234,Anita Bonds ,Bonds for Council 2014,Individual,3/21/2014,15,2014.0,Council At-Large
235,Anita Bonds ,Bonds for Council 2014,Individual,3/21/2014,1,2014.0,Council At-Large
236,Anita Bonds ,Bonds for Council 2014,Individual,3/21/2014,3,2014.0,Council At-Large
237,Anita Bonds ,Bonds for Council 2014,Individual,3/21/2014,1,2014.0,Council At-Large
238,Anita Bonds ,Bonds for Council 2014,Individual,3/21/2014,1,2014.0,Council At-Large
239,Anita Bonds ,Bonds for Council 2014,Individual,3/21/2014,3,2014.0,Council At-Large
240,Anita Bonds ,Bonds for Council 2014,Individual,3/21/2014,5,2014.0,Council At-Large
241,Anita Bonds ,Bonds for Council 2014,Corporation,3/21/2014,2,2014.0,Council At-Large
242,Anita Bonds ,Bonds for Council 2014,Corporation,3/21/2014,1,2014.0,Council At-Large
243,Anita Bonds ,Bonds for Council 2014,Individual,3/21/2014,1,2014.0,Council At-Large
244,Anita Bonds ,Bonds for Council 2014,Individual,3/21/2014,2,2014.0,Council At-Large
245,Anita Bonds ,Bonds for Council 2014,Individual,3/21/2014,2,2014.0,Council At-Large
246,Anita Bonds ,Bonds for Council 2014,Individual,3/21/2014,1,2014.0,Council At-Large
247,Anita Bonds ,Bonds for Council 2014,Individual,3/21/2014,15,2014.0,Council At-Large
248,Anita Bonds ,Bonds for Council 2014,Individual,3/21/2014,1,2014.0,Council At-Large
249,Anita Bonds ,Bonds for Council 2014,Individual,3/21/2014,1,2014.0,Council At-Large
250,Anita Bonds ,Bonds for Council 2014,Individual,3/21/2014,2,2014.0,Council At-Large
251,Anita Bonds ,Bonds for Council 2014,Individual,3/21/2014,1,2014.0,Council At-Large
252,Anita Bonds ,Bonds for Council 2014,Corporation,3/21/2014,1,2014.0,Council At-Large
253,Anita Bonds ,Bonds for Council 2014,Corporation,3/21/2014,25,2014.0,Council At-Large
254,Anita Bonds ,Bonds for Council 2014,Corporation,3/21/2014,2,2014.0,Council At-Large
255,Anita Bonds ,Bonds for Council 2014,Individual,3/18/2014,15,2014.0,Council At-Large
256,Anita Bonds ,Bonds for Council 2014,Individual,3/21/2014,1,2014.0,Council At-Large
257,Anita Bonds ,Bonds for Council 2014,Individual,3/18/2014,1,2014.0,Council At-Large
258,Anita Bonds ,Bonds for Council 2014,Individual,3/18/2014,5,2014.0,Council At-Large
259,Anita Bonds ,Bonds for Council 2014,Individual,3/18/2014,25,2014.0,Council At-Large
260,Anita Bonds ,Bonds for Council 2014,Individual,3/18/2014,2,2014.0,Council At-Large
261,Anita Bonds ,Bonds for Council 2014,Individual,3/18/2014,5,2014.0,Council At-Large
262,Anita Bonds ,Bonds for Council 2014,Individual,3/18/2014,25,2014.0,Council At-Large
263,Anita Bonds ,Bonds for Council 2014,Labor,3/18/2014,5,2014.0,Council At-Large
264,Anita Bonds ,Bonds for Council 2014,Individual,3/18/2014,5,2014.0,Council At-Large
265,Anita Bonds ,Bonds for Council 2014,Labor,3/18/2014,1,2014.0,Council At-Large
266,Anita Bonds ,Bonds for Council 2014,Corporation,3/18/2014,1,2014.0,Council At-Large
267,Anita Bonds ,Bonds for Council 2014,Individual,3/20/2014,5,2014.0,Council At-Large
268,Anita Bonds ,Bonds for Council 2014,Individual,3/20/2014,1,2014.0,Council At-Large
269,Anita Bonds ,Bonds for Council 2014,Individual,3/20/2014,75,2014.0,Council At-Large
270,Anita Bonds ,Bonds for Council 2014,Individual,3/20/2014,1,2014.0,Council At-Large
271,Anita Bonds ,Bonds for Council 2014,Corporation,3/20/2014,25,2014.0,Council At-Large
272,Anita Bonds ,Bonds for Council 2014,Corporate Sponsored PAC,3/20/2014,1,2014.0,Council At-Large
273,Anita Bonds ,Bonds for Council 2014,Corporation,3/24/2014,5,2014.0,Council At-Large
274,Anita Bonds ,Bonds for Council 2014,Corporation,3/24/2014,1,2014.0,Council At-Large
275,Anita Bonds ,Bonds for Council 2014,Corporation,3/24/2014,1,2014.0,Council At-Large
276,Anita Bonds ,Bonds for Council 2014,Corporation,3/24/2014,1,2014.0,Council At-Large
277,Anita Bonds ,Bonds for Council 2014,Corporation,3/24/2014,1,2014.0,Council At-Large
278,Anita Bonds ,Bonds for Council 2014,Individual,3/24/2014,25,2014.0,Council At-Large
279,Anita Bonds ,Bonds for Council 2014,Individual,3/24/2014,1,2014.0,Council At-Large
280,Anita Bonds ,Bonds for Council 2014,Corporate Sponsored PAC,3/21/2014,1,2014.0,Council At-Large
281,Anita Bonds ,Bonds for Council 2014,Corporate Sponsored PAC,3/18/2014,5,2014.0,Council At-Large
